date,avg_sf_temperature,index_id
05/18/2017,63.0,690
05/19/2013,59.0,691
05/19/2014,59.0,692
05/19/2015,55.0,693
05/19/2016,64.0,694
05/19/2017,68.0,695
05/20/2013,64.0,696
05/20/2014,59.0,697
05/20/2015,55.0,698
05/20/2016,58.0,699
05/20/2017,70.0,700
05/21/2013,69.0,701
05/21/2014,61.0,702
05/21/2015,55.0,703
05/21/2016,57.0,704
05/21/2017,70.0,705
05/22/2013,62.0,706
05/22/2014,62.0,707
05/22/2015,55.0,708
05/22/2016,57.0,709
05/22/2017,67.0,710
05/23/2013,56.0,711
05/23/2014,63.0,712
05/23/2015,57.0,713
05/23/2016,59.0,714
05/23/2017,66.0,715
05/24/2013,55.0,716
05/24/2014,62.0,717
05/24/2015,57.0,718
05/24/2016,59.0,719
05/24/2017,62.0,720
05/25/2013,57.0,721
05/25/2014,63.0,722
05/25/2015,57.0,723
05/25/2016,59.0,724
05/25/2017,61.0,725
05/26/2013,56.0,726
05/26/2014,66.0,727
05/26/2015,56.0,728
05/26/2016,61.0,729
05/26/2017,61.0,730
05/27/2013,58.0,731
05/27/2014,63.0,732
05/27/2015,56.0,733
05/27/2016,63.0,734
05/27/2017,61.0,735
05/28/2013,57.0,736
05/28/2014,63.0,737
05/28/2015,56.0,738
05/28/2016,70.0,739
05/28/2017,61.0,740
05/29/2013,59.0,741
05/29/2014,66.0,742
05/29/2015,57.0,743
05/29/2016,67.0,744
05/29/2017,60.0,745
05/30/2013,61.0,746
05/30/2014,59.0,747
05/30/2015,56.0,748
05/30/2016,65.0,749
05/30/2017,60.0,750
05/31/2013,60.0,751
05/31/2014,59.0,752
05/31/2015,56.0,753
05/31/2016,69.0,754
05/31/2017,62.0,755
06/01/2013,63.0,756
06/01/2014,61.0,757
06/01/2015,58.0,758
06/01/2016,69.0,759
06/01/2017,65.0,760
06/02/2013,68.0,761
06/02/2014,59.0,762
06/02/2015,58.0,763
06/02/2016,66.0,764
06/02/2017,66.0,765
06/03/2013,65.0,766
06/03/2014,58.0,767
06/03/2015,59.0,768
06/03/2016,74.0,769
06/03/2017,66.0,770
06/04/2013,60.0,771
06/04/2014,60.0,772
06/04/2015,59.0,773
06/04/2016,75.0,774
06/04/2017,65.0,775
06/05/2013,58.0,776
06/05/2014,62.0,777
06/05/2015,60.0,778
06/05/2016,68.0,779
06/05/2017,64.0,780
06/06/2013,58.0,781
06/06/2014,61.0,782
06/06/2015,59.0,783
06/06/2016,66.0,784
06/06/2017,66.0,785
06/07/2013,58.0,786
06/07/2014,60.0,787
06/07/2015,60.0,788
06/07/2016,65.0,789
06/07/2017,63.0,790
06/08/2013,62.0,791
06/08/2014,68.0,792
06/08/2015,63.0,793
06/08/2016,64.0,794
06/08/2017,63.0,795
06/09/2013,69.0,796
06/09/2014,72.0,797
06/09/2015,62.0,798
06/09/2016,63.0,799
06/09/2017,64.0,800
06/10/2013,61.0,801
06/10/2014,65.0,802
06/10/2015,63.0,803
06/10/2016,64.0,804
06/10/2017,62.0,805
06/11/2013,60.0,806
06/11/2014,62.0,807
06/11/2015,60.0,808
06/11/2016,65.0,809
06/11/2017,62.0,810
06/12/2013,60.0,811
06/12/2014,59.0,812
06/12/2015,61.0,813
06/12/2016,70.0,814
06/12/2017,61.0,815
06/13/2013,62.0,816
06/13/2014,60.0,817
06/13/2015,61.0,818
06/13/2016,63.0,819
06/13/2017,64.0,820
06/14/2013,62.0,821
06/14/2014,65.0,822
06/14/2015,60.0,823
06/14/2016,62.0,824
06/14/2017,67.0,825
06/15/2013,68.0,826
06/15/2014,59.0,827
06/15/2015,59.0,828
06/15/2016,58.0,829
06/15/2017,68.0,830
06/16/2013,63.0,831
06/16/2014,59.0,832
06/16/2015,60.0,833
06/16/2016,61.0,834
06/16/2017,73.0,835
06/17/2013,62.0,836
06/17/2014,58.0,837
06/17/2015,60.0,838
06/17/2016,65.0,839
06/17/2017,75.0,840
06/18/2013,64.0,841
06/18/2014,62.0,842
06/18/2015,59.0,843
06/18/2016,66.0,844
06/18/2017,80.0,845
